league,year,injury_type,injury_category,games_missed
NFL,2009.0,ankle,Lower Body,0.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,neck,Upper Body,0.0
NFL,2009.0,concussion ankle,Head,4.0
NFL,2009.0,personal,Rest/Non-injury,2.0
NFL,2009.0,knee thigh,Lower Body,8.0
NFL,2009.0,hamstring knee,Lower Body,8.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,knee illness,Illness,2.0
NFL,2009.0,back,Upper Body,0.0
NFL,2009.0,knee groin illness,Illness,11.0
NFL,2009.0,personal knee,Rest/Non-injury,1.0
NFL,2009.0,illness knee,Illness,1.0
NFL,2009.0,thigh,Lower Body,0.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,hamstring,Lower Body,2.0
NFL,2009.0,knee eye back shoulder,Head,0.0
NFL,2009.0,ankle,Lower Body,2.0
NFL,2009.0,back,Upper Body,1.0
NFL,2009.0,shoulder,Upper Body,0.0
NFL,2009.0,served shoulder,Upper Body,0.0
NFL,2009.0,calf,Lower Body,5.0
NFL,2009.0,back ankle knee chest shoulder,Lower Body,5.0
NFL,2009.0,knee,Lower Body,1.0
NFL,2009.0,fibula,Lower Body,13.0
NFL,2009.0,knee,Lower Body,6.0
NFL,2009.0,knee ankle,Lower Body,2.0
NFL,2009.0,knee,Lower Body,11.0
NFL,2009.0,shoulder illness,Illness,4.0
NFL,2009.0,illness,Illness,1.0
NFL,2009.0,hip illness,Illness,0.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,quadriceps thigh knee illness,Illness,2.0
NFL,2009.0,arm,Upper Body,4.0
NFL,2009.0,calf,Lower Body,1.0
NFL,2009.0,ankle fibula,Lower Body,2.0
NFL,2009.0,back groin,Lower Body,0.0
NFL,2009.0,knee,Lower Body,14.0
NFL,2009.0,ankle head,Head,7.0
NFL,2009.0,ankle eye,Head,5.0
NFL,2009.0,shoulder,Upper Body,2.0
NFL,2009.0,knee back,Lower Body,1.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,thumb ankle illness,Illness,6.0
NFL,2009.0,groin knee,Lower Body,2.0
NFL,2009.0,tibia fibula,Lower Body,6.0
NFL,2009.0,ankle,Lower Body,4.0
NFL,2009.0,concussion,Head,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,knee,Lower Body,0.0
NFL,2009.0,concussion,Head,1.0
NFL,2009.0,ankle,Lower Body,1.0
NFL,2009.0,shoulder,Upper Body,0.0
